city_id;city;place;distance;distancefromcitycenter;description
737;Jaipur;" Amrapali Museum ";"";" 1 km  from city center ";" Amrapali Museum is one of the popular museums of Jaipur known for showcasing different styles of Indian Jewellery art. It houses a wide collection of Tribal jewellery along with Mughal style, Rajput style and temple jewellery. "
738;Jaipur;" Pink City ";4.3;" 3 km  from city center ";" Pink City in Jaipur refers to the old walled city that was built in the year 1727 by Maharaja Jai Singh II. A number of important structures such as Badi Chaupar, Jantar Mantar and City Palace are situated in this part of the city along with Bapu Bazaar and Johri Bazaar. The city is known as 'Pink City' as it is built out of Sandstone and reflects the colour pink in the daytime. "
739;Jaipur;" Patrika Gate ";"";" 8 km  from city center ";" Patrika Gate serves as the entrance to the Jawahar Circle Park and is one of the photographed spots in India. A massive gate famous for its gorgeous architecture, it is characterised by vibrant colours and intricate carvings that symbolise the Rajasthani culture. "
740;Jaipur;" Angel Resort and Amusement Park ";"";" 18 km  from city center ";" Situated on the Sikar highway in Jaipur, Angel Resort and Amusement Park is a resort cum water park cum amusement park as the name suggests. The property offers stay and accommodation facility as well. It also has a number of fun adventure activities that you can try your hand at. "
741;Jaipur;" Amar Jawan Jyoti ";"";" 2 km  from city center ";" The Amar Jawan Jyoti in Jaipur, Rajasthan is a monument located at Jan Path on the Jaipur Nagar Nigam road. Built to commemorate the soldiers and martyrs from Jaipur who served India during wartime, it is known for its flames that never stop burning. "
742;Jaipur;" Jaipur Zoo ";"";" 3 km  from city center ";" A zoological garden in Jaipur, Rajasthan, the Jaipur Zoo is situated close to the Albert Hall Museum and within the Ram Niwas Garden premises. It is is one of the oldest zoos in the country and India’s fourth-largest gharial breeding farm. There is also a small museum within the zoo premises. "
743;Jaipur;" Evening Walk in Central Park ";"";" 2 km  from city center ";" The Central Park of Jaipur is the largest park in Jaipur. With its big lush garden and long-running track, the park also has the tallest and first day and night national flag. It is popular amongst tourists and locals for picnic. "
744;Jaipur;" Sisodia Rani Garden ";"";" 7 km  from city center ";" Sisodia Rani Garden is a royal garden built on the premises of the Sisodia Palace in Jaipur. The step garden has a central water fountain with channels running through it. The best time to explore this garden is in the morning or the evening. "
745;Jaipur;" Rambagh Palace ";"";" 3 km  from city center ";" Located about 8 kms from the city centre of Jaipur, Rambagh Palace is one among the finest palaces of Jaipur. Once a residence of the Maharaja of Jaipur, today the palace has been converted into a luxury heritage resort with brilliant architecture, lighting and facilities. "
746;Jaipur;" Govind Ji Temple ";4.0;" 4 km  from city center ";" For Krishna followers, this is the most significant temple in the world after Vrindavan. It is believed that the statue of the deity here looks exactly like Krishna's form during his incarnation of Earth. "
747;Jaipur;" Moti Dungri Temple ";3.4;" 4 km  from city center ";" Moti Dungri Temple in Jaipur is located on a small hillock and is bordered by Moti Dungri Fort. In spite of being a cultural landmark, Moti Dungri Fort cannot be viewed by the public as it is privately owned. The temple is dedicated to Lord Ganesha and houses the idol of deity that is purportedly 500 years. "
748;Jaipur;" Watch a movie at Raj Mandir Cinema ";"";" 2 km  from city center ";" Raj Mandir is an ancient cinema hall in Jaipur, conceptualized in the late-1960s by Mehtab Chandra Golcha. It is entitled “Pride of Asia” for its magnificent architecture, the ambience and the surreal experience it provides to its audiences.  "
749;Jaipur;" Panna Meena Ka Kund ";"";" 11 km  from city center ";" Panna Meena ka Kund in Jaipur is one of the many famous stepwells that still stand in the western part of India. The historical stepwell is known for its symmetrical staircase on all four sides. The stairs are made in such a manner that you can reach any of them from anywhere, by simply climbing up and down some flights. "
750;Jaipur;" Ram Niwas Garden ";3.4;" 3 km  from city center ";" Ram Niwas Garden is a royal garden built in 1868 by Maharaja Sawai Ram Singh. A historical landmark, the Albert Hall Museum is located here. Explore the lush green landscaped gardens and or visit the theatre, the Bird Park, the Zoo or the Art Gallery. There are also several cafes located nearby. "
751;Jaipur;" Digamber Jain Mandir Sanghiji ";"";" 3 km  from city center ";" Digamber Jain Mandir Sanghiji is a Jain temple situated 16 kms away from Jaipur in the town of Sanganer. Built of red sandstone, the temple enshrine Adinath- the first Jain tirthankara in the central shrine. Boasting of Shikhara style architecture, the temple has several carvings on the inner walls of the shrine of lotuses, creepers and elephants "
752;Jaipur;" Abhaneri step well ";3.7;" 82 km  from city center ";" Located around 20 km from Jaipur, Abhaneri Stepwell is one of the largest stepwells and most intricate pieces of architecture in Rajasthan. Also, known as Chand Baori, the geometry of the stepwell is mesmerising. The Step Well is deep with 3,500 steps going down to nearly 20 meters to the base and has 13 floors in between. "
753;Jaipur;" Shopping at Bapu Bazar ";3.4;" 4 km  from city center ";" Situated in the heart of the Pink city between Sanganer Gate and New Gate, Bapu Bazaar is known for its alluring Rajasthani quintessential products including textiles, handicrafts, brass works and precious stones. It is one of the most famous markets of the city for buying traditional Jutis, Bangles, Dupattas, Sarees, Scarves etc.  "
754;Jaipur;" Kale Hanuman Ji Ka Mandir ";"";" 4 km  from city center ";" The Kale Hanuman Ji Temple, often known as the Kale Hanuman Ji Ka Mandir, is a Hindu temple in the Chandi ki Taksal neighbourhood of Jaipur, Rajasthan. It is known for housing a unique black statue of Lord Hanuman. "
755;Jaipur;" World Trade Park Jaipur ";"";" 7 km  from city center ";" World Trade Park is situated in Malviya Nagar in Jaipur and is the second largest mall of the country. The construction of the mall costed 350 crores and it took two years to finish it. It was inaugurated in the year 2012 by Shahrukh Khan. "
756;Jaipur;" Johari Bazaar ";"";" 4 km  from city center ";" Painted in pink, Johari Bazaar is the oldest market in Jaipur popular for its vibrant ambience, delicious food and premium quality Kundan jewellery. Considered a haven for jewellery junks, the market offers a wide variety of glittering Jaipuri jewellery made in gold, silver, diamonds, emeralds, and rubies. "
757;Jaipur;" Swaminarayan Temple ";3.4;" 5 km  from city center ";" Dedicated to the Hindu God, Narayan Akshardham Temple is known for its beautiful architecture, magnificent idols, sculptures, and carvings. The lush green surroundings add to its beauty and serenity. "
758;Jaipur;" Jawahar Circle ";"";" 8 km  from city center ";" Jawahar Circle is situated in Malviya Nagar in Jaipur and boasts of being the largest circular park in Asia. The park has a peculiar jogging track and is encircled by a rose garden. Besides, it has play area for kids and kiosks. The main highlight of the park is the dance of the musical fountains which is one of the most popular tourist attractions of the city. "
759;Jaipur;" Chand Pol ";3.4;" 4 km  from city center ";" One of the finest specimens of Rajput architecture in Jaipur, Chand Pol offers spectacular views of the famed old bazaar and glimpses of the Rajasthani culture. "
760;Jaipur;" Anokhi Museum of handpainting ";3.4;" 11 km  from city center ";" The Anokhi Foundation aims to preserve the centuries old customs and traditions of the artisans in Jaipur. the foundation has been running a museum, Anokhi Museum of Handmade Paintings, where it exhibits various artifacts in relation to the hand and block printing. "
761;Jaipur;" Chand Baori ";3.9;" 219 km  from city center ";" Chand Baori is a major tourist attraction site in Abhaneri village and is a very big step well with flights of steps on the three sides that lead to the water reserve. "
762;Jaipur;" Kanak Vrindavan Garden ";"";" 9 km  from city center ";" Kanak Vrindavan Garden is a royal garden located on the footsteps of Nahargarh hills near Amber Fort. Divided into eight sections, it boasts of the intricate marble fountain, Parikrama and the exquisite mirror work on the walls of Govind Devji temple built in the premises. The gardens here are often compared with those in Vrindavan where Lord Krishna once lived. "
763;Jaipur;" Sargasuli Tower ";"";" 4 km  from city center ";" Sargasuli Tower or Isar Lat is a historical heritage monument situated near Tripolia Gate of City Palace in Jaipur. The seven tiered minaret is built in a fashion similar to that of Qutub Minar in Delhi and Kirti Stambh of Chittorgarh. The tower has a tiny entry with a spiralling staircase and every tier has a balcony outlet. "
764;Jaipur;" Khole Ke Hanuman Ji Temple ";"";" 7 km  from city center ";" Located on the Delhi bypass in Jaipur at Lakshman Dungri, Khole Ke Hanuman Ji Temple is a Hindu revered temple dedicated to Lord Hanuman. The temple is perched on a hillock and offers some panoramic views of the surrounding hills. Besides, the shrine has a spacious sanctum which can accommodate around 500 people at once. "
765;Jaipur;" Mauj Mahal Water Park and Fun Resort ";"";" 15 km  from city center ";" Mauj Mahal Water Park and Fun Resort is a multiple themed amusement park complex on the Chomu-Jaipur highway in Jaipur. The amusement park offers various activities including rain dance, video games parlor, spa and even a beauty parlor for the ladies etc.  "
766;Jaipur;" Garh Ganesh Temple ";"";" 5 km  from city center ";" Garh Ganesh Temple is an ancient temple built by Maharaja Sawai Jai Singh before he laid the foundation stone of the city of Jaipur. The temple is located near Jaigarh and Nahargarh Forts on the Aravalli Hills. It is dedicated to Lord Ganesh who is revered in Vigra Purushakriti, which means his child-form is worshipped here. The temple is often a halting spot for trekkers who explore the Aravalli Hills for a fabulous view of the city.  "
767;Jaipur;" Bond with the Elephants at Elefantastic ";"";" 12 km  from city center ";" Elefantastic, situated at the capital city of Rajasthan, Jaipur, is a place that will change your perception of an elephant sanctuary forever. The elephants here are treated nicely, and it also boasts of its great hospitality, extreme geography, kaleidoscopic culture, deep-rooted spirituality, photogenic chaos and love for animals. "
768;Jaipur;" Explore the Temples of Karauli ";"";" 131 km  from city center ";" Karauli is a quaint town famous for sacred places and is home to more than 300 temples. The rich, vibrant and colourful heritage and culture of Rajasthan can be glimpsed in this town which makes it a perfect place to visit on a vacation.  "
769;Jaipur;" Bhandarej ";"";" 63 km  from city center ";" Bhandarej located in the Duasa district in Rajasthan is a quaint and perfect place to getaway from the hustle bustle of the city. This is a vibrant and colourful place that is beautifully juxtaposed with the intricate stone monuments. Bhandarej is full of scenic beauty and picturesque landscapes.  "
770;Jaipur;" Samode Palace ";"";" 33 km  from city center ";" At a distance of around 56 kms from Jaipur, Samode Palace is a heritage palace cum hotel. A fusion of Muslim and Rajputana architecture, the palace also houses Sheesh Mahal or Hall of Mirrors. It is also surrounded by beautiful gardens which are a treat to the eyes. "
771;Jaipur;" Hari Mahal Palace ";"";" 0 km  from city center ";" Originally a residence of Rajadhiraj Hari Singh of the Achrol family in the 1930s, Hari Mahal Palace has now been partly converted into a heritage luxury hotel. The interesting factor is that half of the palace is still occupied by the members of the royal family. "
772;Jaipur;" Rajmahal Palace ";"";" 1 km  from city center ";" Built in 1729, Rajmahal Palace is a symbol of love by Maharaja Sawai Jai Singh II for his wife. Briefly occupied by the British, the palace has now been restored and converted into a luxury stay. It still houses some of the ancient relics and royal chandeliers from the bygone era. "
773;Jaipur;" Narain Niwas Palace ";"";" 3 km  from city center ";" Built by Thakur of Kanota, General Amar Singh, Narain Niwas Palace boasts of Anglo Indian style of architecture of the Victorian era. The palace has now been converted into a heritage home to give you a glimpse of the opulent royal lifestyle. "
774;Jaipur;" Shahpura Haveli ";"";" 56 km  from city center ";" Originally built as a vantage point nearly 300 years ago, Shahpura Haveli was later converted into a magnificent fortress. The palace has now been converted into a heritage home which boasts of Indo-Saracenic style of architecture. It is frequented by celebrities, politicians and other popular artists. "
971;Mumbai;" Elephanta Caves ";4.3;" 14 km  from city center ";" An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline.  "
972;Mumbai;" Walk at Marine drive ";4.5;" 16 km  from city center ";" Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai.  "
973;Mumbai;" Picnic at Juhu Beach ";4.4;" 8 km  from city center ";" The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries. "
974;Mumbai;" Shopping at Colaba Causeway ";4.3;" 18 km  from city center ";" One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops and old-world cafes like a magnet. "
975;Mumbai;" Stroll around Gateway of India ";4.4;" 18 km  from city center ";" One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way.  "
976;Mumbai;" Bollywood Tour at Film City ";3.8;" 10 km  from city center ";" Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.  "
977;Mumbai;" Enjoy Street Food ";"";" 7 out of 105  places to visit in Mumbai ";" The food culture of Mumbai is defined by its street food. People from all economic classes eat from the roadside food stalls in Mumbai, which serve some of the best local food, even better than many restaurants. Mumbai's most famous street food includes Vada Pav, bhelpuri, panipuri, sevpuri, Bombay sandwich, ragda-pattice, pav bhaji, omlette pav and kebabs. Among the popular desserts of Mumbai are Kulfi and Ice Gola.  "
978;Mumbai;" Hanging Gardens ";3.8;" 15 km  from city center ";" Marked by bushes trimmed into shapes of various animals and proximity to the Arabian Sea are the Hanging Gardens, opposite the Kamla Nehru park. Spend a relaxed evening here, enjoying the sunset, especially if you are with kids. "
979;Mumbai;" Prince of Wales Museum ";4.3;" 17 km  from city center ";" The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of a plethora of ancient, exquisite artefacts relating to the rich and diverse history of India. "
980;Mumbai;" Mumbai Zoo ";3.8;" 12 km  from city center ";" Popularly known as Veermata Jijabai Udhyan, the zoo is the best way to spend family holidays amidst a vast variety of birds & animals. "
981;Mumbai;" Enjoy Rides at Essel World ";3.6;" 19 km  from city center ";" Located on the edge of northern suburbs, Mumbai's favourite adventure and water park, Essel World and Water Kingdom are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom. "
982;Mumbai;" National Museum of Indian Cinema ";"";" 14 km  from city center ";" The National Museum of Indian Cinema is the first museum in the country that displays the history of Indian cinema. It is housed in two buildings, New Museum Building and the heritage Gulshan Mahal on Peddar Road in Mumbai. The museum showcases history of Indian Cinema through recordings, memorabilia, cameras, equipment and much more. "
983;Mumbai;" Wildlife Safari at Sanjay Gandhi National park ";3.8;" 15 km  from city center ";" This is a wildlife sanctuary and a habitat to abundance of flora and fauna, in the midst of a busy Mumbai. Famed to be one the most liked national parks, one can also enjoy a train ride through this one.



One can spot here Leopards, Macaques, Boars, Lions, Flying fox, Kingfisher, Sunbird and many more. A must visit attraction of the city, the park is also known for a huge population and variety of butterflies. "
984;Mumbai;" Pray at Siddhivinayak Temple ";4.3;" 8 km  from city center ";" Located in Prabhadevi, Siddhivinayak is a Lord Ganesha temple, one of the most significant and frequented temples in Mumbai. Visitors visit this temple in large numbers on daily basis. It is one of the richest temples in Mumbai. The wooden doors to the sanctum are carved with images of the Lord. The inner roof which is plated with gold has the central sculpture of Ganesha. "
985;Mumbai;" National gallery of Modern Art ";3.8;" 17 km  from city center ";" Situated in Colaba, Southern Mumbai, the National Gallery of Modern Art was established in 1996, with an objective to promote modern trends in the Indian culture. Initially a concert venue, the structure was later converted into an art gallery in 1954. The gallery boasts of its display of artworks from Indian as well as international artists ranging from M.F. Hussain, F.N. Souza, Amrita Shergil, Gaganendranath Tagore to Picasso. "
986;Mumbai;" Sunset at Haji Ali Dargah ";4.3;" 13 km  from city center ";" Situated at the backdrop of a beautiful view of the sea is the shrine of Haji Ali, a wealthy merchant turned into Muslim Sufi. People from all walks of life and religions come here to seek blessings. "
987;Mumbai;" Shopping at Fashion Street ";3.8;" 16 km  from city center ";" One of the favourite shopping hubs for the people of Mumbai especially the students, the place offers some of the trendiest and latest fashion clothes.  "
988;Mumbai;" Drive Through Bandra Worli Sea Link ";4.4;" 9 km  from city center ";" Spanning across the arc of Mumbai coastline, this is an eight-lane cable-stayed bridge in Mumbai. Officially known as Rajiv Gandhi Sea Link, it is a civil engineering wonder that reflects the modern infrastructure of the city of Mumbai. "
989;Mumbai;" Marvel at the Victoria Terminus ";4.4;" 15 km  from city center ";" Also known as Chhatrapati Shivaji Maharaj Terminus, the Victoria Terminus is the main railway station serving Mumbai. Constructed in the Victorian-Gothic style of architecture, the railway station is a declared as a World Heritage Site by the UNESCO. The station is one of the most famous historic landmark symbolizing the pre-independence British Raj in India. "
990;Mumbai;" Kamla Nehru park ";3.8;" 16 km  from city center ";" Named after the first wife of the late Prime Minister of India, Sri Pandit Jawaharlal Nehru, it is family spot for outings. Enjoy the view of Marine drive and the Chowpatty beach from here. "
991;Mumbai;" KidZania Mumbai ";"";" 5 km  from city center ";" Kidzania is an indoor theme cum educational park for kids located in Ghatkopar West in Mumbai. There are no video games or any new age games, instead the entire space is setup in form of a mock city with real life professions for children to take up. The mock city has battery operated cars and tiny shops and clinics etc. The objective of the park is to educate, inspire and teach kids about real life in a fun and games way.  "
992;Mumbai;" ISKCON Temple ";3.3;" 7 km  from city center ";" Iskcon temple is a spiritual getaway from all the hustle and bustle of the city. A temple clad in marble and glass, Iskcon has an impressive architecture and promises to give a peaceful and tranquil experience. The complex also has a research and education centre conducting daily seminars and preaching on Vedic writings and an impressive library inside the compound. "
993;Mumbai;" Gorakhgad Trek ";3.5;" 70 km  from city center ";" Gorakhgad is a hill fort in Maharashtra. Gorakhgad and Machindragad are twin forts in the Thane district of Maharashtra. Gorakhgad is situated at an elevation higher than its twin fort. "
994;Mumbai;" Kanheri caves ";3.8;" 15 km  from city center ";" Located in the Sanjay Gandhi National Park, the Kanheri Caves in Mumbai is a group of alcoves and rock-cut monuments that illustrate the Buddhist influence on the Indian art and culture. The caves are famous for its 109 special entrances and ancient sculptures, carvings, paintings and inscriptions dating from the 1st century to the 10th century. "
995;Mumbai;" Street Food at Girgaum Chowpatty ";4.3;" 15 km  from city center ";" Girgaum Chowpatty is a small sandy beach and a good place to chill, at the north end of Marine Drive, a must-go place for tourists visiting Marine Drive for the first time. Conveniently located next to Charni Road railway station, it is very crowded during evening and weekends and hosts street food stalls serving local delicacies. There are cafes/dine-in options available across the road as well. "
996;Mumbai;" Water Sports in Mandwa Beach ";3.5;" 30 km  from city center ";" A beautiful, serene and pristine beach in Mandwa Village - an hour long ferry ride away from Mumbai - is not just about quite long walks along the coast but also offers the buzz of water sports. "
997;Mumbai;" Global Pagoda ";3.8;" 19 km  from city center ";" Located near Gorai, North-West of Mumbai, the Global Vipassana Pagoda serves as a monument to peace and harmony. It is built as a form of gratitude to a Vipassana teacher and accountant general of Independent Burma, Sayayi U Ba Khin. He was instrumental in bringing Vipassanaa back to its country of origin, i.e. India. "
998;Mumbai;" Mahakali caves ";3.7;" 6 km  from city center ";" Alternatively known as Kondivite Caves, the Mahakali Caves are a total of nineteen rock-cut monuments, built between the duration of the 1st and 6th century. The main cave consists of Buddha figures and stupas, while the there are several Buddha idols carved on the rocks too. "
999;Mumbai;" Shopping at Lokhandwala ";3.3;" 9 km  from city center ";" Lokhandwala is another place to shop happily and heartily. Do not miss the lip-smacking food around these shopping streets. "
1000;Mumbai;" Partying at Hill Road and Linkin Road, Bandra ";3.3;" 5 km  from city center ";" Acknowledged for its high fashionable taste, Mumbai provides many opportunities to shop around. Besides Colaba, Bandra is another place for Shopaholics. "
1001;Mumbai;" Makarandgad Trek ";3.5;" 13 km  from city center ";" Makarandgad (or Madhumakarandgad) is a hill fort in the state of Maharashtra. Believed to be comprised of twin peaks, Madhu and Makarandgad, the fort has thus derived its name. "
1002;Mumbai;" Mahalaxmi temple ";3.9;" 5 km  from city center ";" The Mahalaxmi Temple is dedicated to Goddess Mahalaxmi or the 'Goddess of Wealth'. Thronged with devotees and tourists in large number throughout the year, the temple is a must visit if you are visiting Mumbai.  "
1003;Mumbai;" Siddhgad Bhimashankar Trek ";3.5;" 69 km  from city center ";" Located in the beautiful expanses of the Western Ghats, the Bhimashankar Trek takes you through the thickets of the Bhimashankar jungles right up to the temple. Bhimashankar is located in the village Bhorgiri in the ghat region of the Sahyadri range. "
1004;Mumbai;" Jehangir art gallery ";3.8;" 17 km  from city center ";" The Jehangir Art Gallery, an art gallery in Mumbai, was founded by Sir Cowasji Jehangir at the request of K K Hebbar and Homi Bhabha. It was built in 1952. Managed by the Committee of Management, the entire cost of this mansion was donated by Cowasji Jehangir.This gallery is placed at Kala Ghoda, behind the Prince of Wales Museum, in South Mumbai near the Gateway of India, and has four exhibition halls. The gallery was designed by GM Bhuta for GM Bhuta and Associates. "
1005;Mumbai;" Naneghat Trek ";3.5;" 88 km  from city center ";" Situated at a height of 2,600 feet, Naneghat is a mountain pass through the Sahyadri Mountain Range in Maharashtra that connects the Konkan sea coast with the old town of Junnar in the Deccan. Once an important corridor link through the Ghatghar forest between the coastal region and the important towns inland, Naneghat is now a loved and much-frequented route for the trekkers and explorers. Boasting the trademark beauty of lush greens amidst patches of dusty terrain, typical to this region, Naneghat is a treat to the eyes, to the soul and to the nature-loving, adventure-seeking mind. 
 "
1006;Mumbai;" Hajimalang Trek ";3.5;" 31 km  from city center ";" Sri Malang gad is a fort near Kalyan in the Raigad district of Maharashtra. It is known popularly as Haji Malang, which is one of the most famous among the three sufi shrines located on the hill. The structure of the fort is three-storeyed, and each tier has a specific name. "
1007;Mumbai;" Mahuli Trek ";3.5;" 60 km  from city center ";" Mahuli is a hill fort in Maharashtra. Located in the district of Thane, the peak of the fort rises to an elevation of 2700 feet from the ground. The summit is actually a collection of 2-3 hills, all having typical names. "
1008;Mumbai;" Jivdhan Trek ";3.5;" 88 km  from city center ";" Jivdhan is a hill fort in the state of Maharashtra. It is a part of the 'famous five' fort in the Sahyadri mountain range. The other forts which are a part of the famous five include Naneghat, Shivneri, Chavand and Hadsar. "
1009;Mumbai;" Jama Masjid ";3.5;" 17 km  from city center ";" The Jama Masjid, popularly known as Friday Mosque, is the oldest mosque that Mumbai houses. A popular place of pilgrimage, it boasts of beautiful and intricate carvings, breathtaking artworks and the fascinating 'sangemarmar' stonework and has an interesting history attached to it.  "
1010;Mumbai;" Mahipatagad Trek ";3.5;" 152 km  from city center ";" Mahipatagad is a hill fort in the state of Maharashtra. Mahipatagad is a twin fort of Rasalgad, located in the Ratnagiri district. It is famous for its six entrance door or 'Darwazas' but most of them have crumbled down. There is Shiva temple at the top. "
1011;Mumbai;" Mount Mary Church ";3.0;" 7 km  from city center ";" The Basilica of Our Lady of the Mount is commonly called as the Mount Mary Church by the locals. Thousands of people of all faiths visit this church to attain peace and tranquillity in the caress of Mount Mary. The basilica is a truly grand, yet humble edifice made from nothing but stone.
 "
1012;Mumbai;" Gorai Beach ";3.0;" 21 km  from city center ";" Located in the north suburb of Mumbai, 40 kms from the main city, Gorai Beach is one the cleanest, most tranquil and one of the most frequented beaches of Mumbai. Located near Bhayandar, on the Gorai Creek, the soothing calmness of this beach bordering the Arabian Sea, makes for a perfect leisure weekend vacation.  "
1013;Mumbai;" Madh Island ";3.0;" 12 km  from city center ";" Home to umpteen villages, farmlands and surreal vistas, is the locale of Madh Island in Mumbai. Clustered with quaint fisher villages and dotted with lush green farms, Madh Island is a respite from the glitterati and dazzling environs of the city and can be reached by an hour’s drive from the main city.  "
